round,impressions,mean_watch_ratio,mean_watch_seconds,instant_skip_rate,completion_rate,like_rate,share_rate,follow_rate,mean_session_length,reward_per_impression,reward_per_session,mean_true_affinity
0,100000,0.451145,12.711413,0.467430,0.417700,0.077540,0.029380,0.009230,8.661008,0.102379,0.886709,0.102936
1,100000,0.493832,12.873049,0.431410,0.458230,0.093790,0.035570,0.016620,6.905600,0.140396,0.969517,0.164114
2,100000,0.546534,11.964483,0.386370,0.512070,0.109570,0.040190,0.025100,6.413134,0.183947,1.179679,0.198855
3,100000,0.562111,13.342659,0.372940,0.527620,0.115950,0.043340,0.030040,6.421783,0.200382,1.286808,0.220194
4,100000,0.577966,14.136939,0.359990,0.543350,0.123570,0.044210,0.032840,6.556087,0.215271,1.411335,0.237788
5,100000,0.589529,16.292906,0.350910,0.553720,0.125670,0.047210,0.037150,6.584579,0.227896,1.500598,0.255343
6,100000,0.596480,18.474629,0.344760,0.561130,0.129610,0.047040,0.038290,6.541078,0.236629,1.547810,0.265935
7,100000,0.597156,20.087960,0.345620,0.560340,0.131560,0.047940,0.041150,6.492242,0.239346,1.553893,0.272736
8,100000,0.603292,20.165386,0.339700,0.566200,0.131380,0.047930,0.042300,6.488451,0.245058,1.590048,0.279607
9,100000,0.608210,21.475439,0.336930,0.571040,0.136270,0.049260,0.043760,6.549217,0.250883,1.643089,0.290109
10,100000,0.481786,14.935237,0.441900,0.448760,0.096820,0.035230,0.021630,6.541506,0.134754,0.881493,0.167859
11,100000,0.528479,15.817313,0.402290,0.494870,0.114210,0.042210,0.028260,6.518480,0.176734,1.152040,0.219897
12,100000,0.571000,15.687950,0.365860,0.539440,0.134400,0.049800,0.041190,6.527841,0.216385,1.412529,0.276617
13,100000,0.608148,17.443275,0.335350,0.577180,0.156470,0.057370,0.053610,6.494772,0.253330,1.645319,0.331116
14,100000,0.646823,19.861096,0.303070,0.618420,0.175970,0.066510,0.064900,6.532959,0.291971,1.907435,0.390483
15,100000,0.685850,22.481317,0.270010,0.658140,0.195700,0.072790,0.077840,6.527841,0.330810,2.159475,0.443822
16,100000,0.715987,25.677673,0.243820,0.690380,0.214940,0.080160,0.089570,6.495615,0.363459,2.360891,0.496703
17,100000,0.744655,26.570326,0.219260,0.720400,0.232400,0.082840,0.097780,6.561249,0.391017,2.565562,0.536205
18,100000,0.765399,28.388289,0.202140,0.742730,0.241490,0.088520,0.107800,6.555228,0.413167,2.708403,0.568872
19,100000,0.789342,30.074878,0.181970,0.768760,0.254780,0.094640,0.114320,6.509145,0.435977,2.837839,0.606128
