round,mean_unique_topics,mean_unique_creators,mean_intra_list_similarity,mean_topic_hhi,mean_creator_hhi,repetition_rate
0,2.000000,9.996900,0.611736,0.653546,0.100062,0.000000
1,1.613200,9.219400,0.786689,0.849242,0.119914,0.000000
2,1.408400,8.345400,0.833336,0.896722,0.166646,0.000000
3,1.278300,7.276000,0.861587,0.929184,0.224634,0.000000
4,1.228800,6.903100,0.866341,0.940916,0.231892,0.000000
5,1.247900,6.455900,0.863767,0.941084,0.241764,0.000000
6,1.433300,6.129600,0.842555,0.908930,0.244622,0.000000
7,1.748500,6.021100,0.816520,0.854084,0.250378,0.000000
8,1.962600,6.174100,0.784428,0.812570,0.247138,0.000000
9,1.979800,6.538100,0.773462,0.798066,0.227872,0.000000
10,2.109600,7.389700,0.760284,0.768450,0.196522,0.000000
11,2.220700,8.023500,0.728557,0.745504,0.163164,0.000000
12,2.132100,7.906700,0.745545,0.752746,0.174358,0.000000
13,1.968700,7.235100,0.765277,0.780190,0.211618,0.000000
14,1.793700,6.733700,0.791560,0.814218,0.228594,0.000000
15,1.632300,6.021400,0.811571,0.847104,0.290368,0.000000
16,1.629000,5.501400,0.808903,0.852786,0.310482,0.000000
17,1.658100,5.765500,0.803303,0.850678,0.283580,0.000000
18,1.705600,5.935700,0.808939,0.844994,0.253958,0.000000
19,1.625900,5.808900,0.822687,0.862080,0.267758,0.000000
