round,sampled_requests,mean_regret,cumulative_regret
0,196,0.693683,135.961830
1,212,0.621054,267.625274
2,205,0.572090,384.903627
3,199,0.534068,491.183258
4,203,0.536552,600.103285
5,185,0.536830,699.416886
6,186,0.488343,790.248612
7,209,0.470253,888.531421
8,208,0.480531,988.481941
9,186,0.473336,1076.522439
10,178,0.431732,1153.370696
11,190,0.766898,1299.081362
12,191,0.677615,1428.505768
13,190,0.586972,1540.030481
14,188,0.485797,1631.360227
15,206,0.474347,1729.075755
16,212,0.417392,1817.562931
17,210,0.375783,1896.477376
18,196,0.316518,1958.514879
19,195,0.282299,2013.563114
