round,samples,recall_at_10,recall_at_50,mean_distance_error
0,191,0.400000,0.380000,0.010062
1,214,0.706542,0.651776,0.014561
2,235,0.794894,0.761787,0.008080
3,204,0.775980,0.752745,0.011165
4,193,0.889637,0.856477,0.003923
5,229,0.886463,0.872402,0.005852
6,183,0.935519,0.919344,0.002568
7,203,0.939409,0.925911,0.002859
8,200,0.902500,0.882000,0.005420
9,190,0.913158,0.884421,0.004964
10,215,0.918140,0.902512,0.004578
11,190,0.888947,0.865053,0.006599
12,187,0.899465,0.870160,0.005315
13,226,0.869469,0.852743,0.008709
14,182,0.857143,0.839011,0.008378
15,212,0.901887,0.880660,0.006582
16,214,0.916355,0.909533,0.005630
17,233,0.935193,0.924464,0.003834
18,200,0.916000,0.903900,0.008576
19,192,0.915104,0.906875,0.008885
