round,mean_unique_topics,mean_unique_creators,mean_intra_list_similarity,mean_topic_hhi,mean_creator_hhi,repetition_rate
0,2.000000,9.996900,0.611736,0.653546,0.100062,0.000000
1,3.271900,9.459400,0.457568,0.517548,0.112880,0.000000
2,5.459700,8.573200,0.437069,0.354276,0.128536,0.000000
3,3.303300,9.332000,0.604457,0.641218,0.113360,0.000000
4,2.616300,9.680700,0.547018,0.660080,0.106400,0.000000
5,4.444600,8.208400,0.482804,0.436000,0.139250,0.000000
6,3.441800,7.835800,0.581701,0.604144,0.156782,0.000000
7,3.138500,8.537000,0.500904,0.582006,0.135354,0.000000
8,4.678500,8.908300,0.410057,0.390654,0.125222,0.000000
9,3.809100,7.610400,0.537827,0.557686,0.158532,0.000000
10,2.202900,9.146200,0.690362,0.795114,0.117076,0.000000
11,4.367900,9.931700,0.498593,0.522702,0.101366,0.000000
12,4.308300,8.783600,0.493698,0.514952,0.125492,0.000000
13,3.838900,9.452300,0.462981,0.528804,0.111030,0.000000
14,3.041600,9.550900,0.564290,0.643358,0.109006,0.000000
15,3.422700,8.382600,0.530684,0.589768,0.133330,0.000000
16,1.858400,9.844700,0.749138,0.861824,0.103128,0.000000
17,2.510400,9.238900,0.669898,0.758210,0.115232,0.000000
18,4.514500,9.457300,0.445973,0.462638,0.111000,0.000000
19,2.324300,9.886200,0.694168,0.770624,0.102696,0.000000
