round,interactions_per_user,mean_reward_per_impression,mean_estimated_hidden_cosine,drifted_mean_reward,control_mean_reward,drifted_alignment,control_alignment
0,10,0.102379,0.216066,0.102379,nan,0.216066,nan
1,20,0.072270,0.216066,0.072270,nan,0.216066,nan
2,30,0.072412,0.216066,0.072412,nan,0.216066,nan
3,40,0.092879,0.216066,0.092879,nan,0.216066,nan
4,50,0.072708,0.216066,0.072708,nan,0.216066,nan
5,60,0.083837,0.216066,0.083837,nan,0.216066,nan
6,70,0.076974,0.216066,0.076974,nan,0.216066,nan
7,80,0.061830,0.216066,0.061830,nan,0.216066,nan
8,90,0.069112,0.216066,0.069112,nan,0.216066,nan
9,100,0.072614,0.216066,0.072614,nan,0.216066,nan
10,110,0.211167,0.335157,0.211167,nan,0.335157,nan
11,120,0.218037,0.335157,0.218037,nan,0.335157,nan
12,130,0.197134,0.335157,0.197134,nan,0.335157,nan
13,140,0.177763,0.335157,0.177763,nan,0.335157,nan
14,150,0.203570,0.335157,0.203570,nan,0.335157,nan
15,160,0.199298,0.335157,0.199298,nan,0.335157,nan
16,170,0.193205,0.335157,0.193205,nan,0.335157,nan
17,180,0.213450,0.335157,0.213450,nan,0.335157,nan
18,190,0.178716,0.335157,0.178716,nan,0.335157,nan
19,200,0.169628,0.335157,0.169628,nan,0.335157,nan
