round,sampled_requests,mean_regret,cumulative_regret
0,196,0.693683,135.961830
1,212,0.667874,277.551070
2,205,0.667238,414.334791
3,199,0.671395,547.942486
4,203,0.698385,689.714723
5,185,0.686579,816.731815
6,186,0.692673,945.568995
7,209,0.696499,1091.137318
8,208,0.692990,1235.279180
9,186,0.693139,1364.203124
10,178,0.674378,1484.242342
11,190,0.691428,1615.613674
12,191,0.713210,1751.836774
13,190,0.746538,1893.678982
14,188,0.667318,2019.134821
15,206,0.685251,2160.296572
16,212,0.695629,2307.770009
17,210,0.671715,2448.830246
18,196,0.723190,2590.575527
19,195,0.702112,2727.487370
