round,mean_unique_topics,mean_unique_creators,mean_intra_list_similarity,mean_topic_hhi,mean_creator_hhi,repetition_rate
0,2.000000,9.996900,0.611736,0.653546,0.100062,0.000000
1,3.603800,9.999900,0.551884,0.475944,0.100002,0.000000
2,4.174900,9.714000,0.464889,0.394278,0.106478,0.000000
3,2.470500,9.333200,0.631689,0.645676,0.113944,0.000000
4,2.798100,9.591300,0.610627,0.602908,0.108282,0.000000
5,4.140400,9.200200,0.505840,0.422286,0.119866,0.000000
6,2.738700,9.208700,0.630144,0.635450,0.122072,0.000000
7,3.362000,9.052400,0.581480,0.530718,0.126504,0.000000
8,3.637300,9.220000,0.557650,0.476332,0.119404,0.000000
9,3.539600,9.309800,0.564246,0.518106,0.117126,0.000000
10,3.847500,9.567000,0.526104,0.480386,0.109428,0.000000
11,4.211400,9.508500,0.532498,0.429548,0.110450,0.000000
12,3.760800,9.216700,0.587739,0.529662,0.117584,0.000000
13,3.682300,9.040300,0.594691,0.523578,0.122024,0.000000
14,3.525600,8.562800,0.606873,0.553918,0.141582,0.000000
15,3.500600,8.147800,0.606428,0.558514,0.150924,0.000000
16,3.752700,8.554600,0.567948,0.486090,0.140632,0.000000
17,3.064400,8.919400,0.637409,0.610286,0.133974,0.000000
18,2.944500,8.629500,0.648318,0.602146,0.139290,0.000000
19,2.943200,8.897600,0.621179,0.560396,0.127888,0.000000
