round,interactions_per_user,mean_reward_per_impression,mean_estimated_hidden_cosine,drifted_mean_reward,control_mean_reward,drifted_alignment,control_alignment
0,10,0.102379,0.220697,0.102379,nan,0.220697,nan
1,20,0.076855,0.225609,0.076855,nan,0.225609,nan
2,30,0.111037,0.230889,0.111037,nan,0.230889,nan
3,40,0.115712,0.235807,0.115712,nan,0.235807,nan
4,50,0.118371,0.241430,0.118371,nan,0.241430,nan
5,60,0.139850,0.247486,0.139850,nan,0.247486,nan
6,70,0.125782,0.251858,0.125782,nan,0.251858,nan
7,80,0.136971,0.257214,0.136971,nan,0.257214,nan
8,90,0.145994,0.262771,0.145994,nan,0.262771,nan
9,100,0.131989,0.267054,0.131989,nan,0.267054,nan
10,110,0.217925,0.359960,0.217925,nan,0.359960,nan
11,120,0.247213,0.371676,0.247213,nan,0.371676,nan
12,130,0.239202,0.384224,0.239202,nan,0.384224,nan
13,140,0.266419,0.396804,0.266419,nan,0.396804,nan
14,150,0.272178,0.409668,0.272178,nan,0.409668,nan
15,160,0.268735,0.423045,0.268735,nan,0.423045,nan
16,170,0.284997,0.435901,0.284997,nan,0.435901,nan
17,180,0.296834,0.448197,0.296834,nan,0.448197,nan
18,190,0.286371,0.460654,0.286371,nan,0.460654,nan
19,200,0.304485,0.471995,0.304485,nan,0.471995,nan
