round,impressions,mean_watch_ratio,mean_watch_seconds,instant_skip_rate,completion_rate,like_rate,share_rate,follow_rate,mean_session_length,reward_per_impression,reward_per_session,mean_true_affinity
0,100000,0.451145,12.711413,0.467430,0.417700,0.077540,0.029380,0.009230,8.661008,0.102379,0.886709,0.102936
1,100000,0.427964,9.327462,0.490350,0.391290,0.075990,0.027880,0.010670,6.896076,0.076855,0.529999,0.118735
2,100000,0.466800,9.407922,0.454170,0.432350,0.084560,0.031610,0.013150,6.418073,0.111037,0.712646,0.130140
3,100000,0.470924,9.751644,0.449470,0.437170,0.084940,0.031440,0.013480,6.390593,0.115712,0.739469,0.123102
4,100000,0.472413,10.318986,0.450710,0.436140,0.088890,0.031760,0.015500,6.537230,0.118371,0.773816,0.146720
5,100000,0.495815,11.483694,0.430540,0.460100,0.093960,0.035200,0.015550,6.568144,0.139850,0.918553,0.156757
6,100000,0.478000,12.355506,0.445490,0.441940,0.087660,0.031530,0.014130,6.518055,0.125782,0.819851,0.137192
7,100000,0.488815,13.519165,0.436680,0.452470,0.093880,0.034040,0.016110,6.514234,0.136971,0.892263,0.160053
8,100000,0.501328,12.813395,0.424560,0.464300,0.094840,0.035040,0.016530,6.522732,0.145994,0.952280,0.166914
9,100000,0.484765,13.033091,0.440350,0.448510,0.089740,0.032330,0.015260,6.581112,0.131989,0.868634,0.149843
10,100000,0.582411,15.152750,0.357750,0.542010,0.119960,0.044530,0.025000,6.512537,0.217925,1.419246,0.252348
11,100000,0.613524,15.065176,0.331230,0.574960,0.136990,0.049920,0.035570,6.512113,0.247213,1.609876,0.293810
12,100000,0.602527,14.767321,0.341280,0.567850,0.139690,0.051170,0.038140,6.539795,0.239202,1.564330,0.302344
13,100000,0.629434,18.218541,0.317810,0.590770,0.148170,0.053130,0.040980,6.532959,0.266419,1.740507,0.323905
14,100000,0.634164,19.854199,0.317100,0.596210,0.151390,0.055190,0.046350,6.556087,0.272178,1.784425,0.340373
15,100000,0.626757,20.002816,0.321210,0.591230,0.153450,0.058200,0.045780,6.495194,0.268735,1.745486,0.347912
16,100000,0.647698,19.754075,0.303780,0.610060,0.158690,0.057130,0.043220,6.561680,0.284997,1.870060,0.354206
17,100000,0.658976,20.171210,0.293840,0.624310,0.162600,0.059590,0.051230,6.508298,0.296834,1.931884,0.368068
18,100000,0.641640,22.773653,0.309260,0.606640,0.163030,0.058590,0.055700,6.538512,0.286371,1.872439,0.371211
19,100000,0.662780,23.785930,0.292610,0.624500,0.167210,0.061150,0.054670,6.512113,0.304485,1.982838,0.377518
