round,sampled_requests,mean_regret,cumulative_regret
0,196,0.693683,135.961830
1,212,0.659514,275.778843
2,205,0.638480,406.667293
3,199,0.642756,534.575656
4,203,0.652697,667.073136
5,185,0.635260,784.596260
6,186,0.649384,905.381667
7,209,0.632170,1037.505174
8,208,0.624090,1167.315970
9,186,0.637275,1285.849175
10,178,0.606702,1393.842062
11,190,0.652572,1517.830751
12,191,0.639977,1640.066298
13,190,0.639705,1761.610309
14,188,0.586295,1871.833676
15,206,0.584693,1992.280378
16,212,0.579944,2115.228426
17,210,0.581424,2237.327481
18,196,0.595494,2354.044321
19,195,0.555239,2462.315942
