round,samples,recall_at_10,recall_at_50,mean_distance_error
0,191,0.400000,0.380000,0.010062
1,214,0.519626,0.417290,0.007831
2,235,0.572340,0.437191,0.006966
3,204,0.550490,0.417549,0.007521
4,193,0.604145,0.435233,0.006875
5,229,0.598253,0.437205,0.007236
6,183,0.622404,0.454098,0.006876
7,203,0.619704,0.465813,0.006906
8,200,0.622500,0.459800,0.007394
9,190,0.578947,0.446947,0.008523
10,215,0.590698,0.459256,0.008971
11,190,0.675789,0.522421,0.006718
12,187,0.610695,0.487380,0.008596
13,226,0.661504,0.532566,0.007215
14,182,0.695055,0.550659,0.006514
15,212,0.683491,0.569434,0.007911
16,214,0.698131,0.579720,0.006741
17,233,0.742060,0.615880,0.005465
18,200,0.735000,0.614600,0.005809
19,192,0.730208,0.618021,0.008198
