round,interactions_per_user,mean_reward_per_impression,mean_estimated_hidden_cosine,drifted_mean_reward,control_mean_reward,drifted_alignment,control_alignment
0,10,0.102379,0.250686,0.102379,nan,0.250686,nan
1,20,0.135268,0.264024,0.135268,nan,0.264024,nan
2,30,0.165155,0.271850,0.165155,nan,0.271850,nan
3,40,0.181227,0.281022,0.181227,nan,0.281022,nan
4,50,0.186041,0.292059,0.186041,nan,0.292059,nan
5,60,0.188545,0.301033,0.188545,nan,0.301033,nan
6,70,0.194490,0.309480,0.194490,nan,0.309480,nan
7,80,0.202359,0.319575,0.202359,nan,0.319575,nan
8,90,0.211699,0.328151,0.211699,nan,0.328151,nan
9,100,0.215443,0.336952,0.215443,nan,0.336952,nan
10,110,0.187241,0.369907,0.187241,nan,0.369907,nan
11,120,0.248292,0.407968,0.248292,nan,0.407968,nan
12,130,0.280485,0.437609,0.280485,nan,0.437609,nan
13,140,0.307225,0.465071,0.307225,nan,0.465071,nan
14,150,0.324710,0.495828,0.324710,nan,0.495828,nan
15,160,0.351202,0.533767,0.351202,nan,0.533767,nan
16,170,0.377319,0.569941,0.377319,nan,0.569941,nan
17,180,0.407403,0.605916,0.407403,nan,0.605916,nan
18,190,0.423002,0.633275,0.423002,nan,0.633275,nan
19,200,0.438566,0.662291,0.438566,nan,0.662291,nan
