round,sampled_requests,mean_regret,cumulative_regret
0,196,0.693683,135.961830
1,212,0.626755,268.833954
2,205,0.577237,387.167535
3,199,0.575027,501.597960
4,203,0.587948,620.951421
5,185,0.586322,729.420919
6,186,0.546671,831.101656
7,209,0.550170,946.087277
8,208,0.541928,1058.808234
9,186,0.557320,1162.469800
10,178,0.534405,1257.593967
11,190,0.655127,1382.068050
12,191,0.590096,1494.776381
13,190,0.569981,1603.072839
14,188,0.533286,1703.330651
15,206,0.500811,1806.497757
16,212,0.439473,1899.666010
17,210,0.392853,1982.165037
18,196,0.388117,2058.235982
19,195,0.331728,2122.922863
