round,mean_unique_topics,mean_unique_creators,mean_intra_list_similarity,mean_topic_hhi,mean_creator_hhi,repetition_rate
0,2.000000,9.996900,0.611736,0.653546,0.100062,0.000000
1,1.570000,9.528000,0.794372,0.860838,0.110110,0.000000
2,1.397600,8.916500,0.816717,0.895400,0.130114,0.000000
3,1.362300,8.218100,0.830774,0.908020,0.169466,0.000000
4,1.446200,7.890600,0.824770,0.893842,0.176292,0.000000
5,1.550600,7.538100,0.813929,0.875424,0.184660,0.000000
6,1.673500,7.236000,0.797663,0.853078,0.200704,0.000000
7,1.828200,6.979300,0.775716,0.821688,0.206942,0.000000
8,1.929600,6.843400,0.766911,0.801298,0.212564,0.000000
9,2.030400,6.990900,0.756792,0.784836,0.206958,0.000000
10,2.136700,7.411800,0.734679,0.762048,0.186864,0.000000
11,2.145200,8.153600,0.723109,0.754872,0.156546,0.000000
12,2.064900,7.964100,0.744186,0.766250,0.168336,0.000000
13,1.986800,7.613600,0.755682,0.777886,0.193360,0.000000
14,1.907100,7.702500,0.766642,0.795112,0.183550,0.000000
15,1.851100,7.791900,0.778789,0.807330,0.175278,0.000000
16,1.866000,7.580500,0.783239,0.809900,0.180656,0.000000
17,1.868900,7.048100,0.783979,0.811534,0.196052,0.000000
18,1.768700,6.445700,0.797557,0.831604,0.226204,0.000000
19,1.819200,5.649800,0.795267,0.826942,0.288504,0.000000
