round,interactions_per_user,mean_reward_per_impression,mean_estimated_hidden_cosine,drifted_mean_reward,control_mean_reward,drifted_alignment,control_alignment
0,10,0.102379,0.234793,0.102379,nan,0.234793,nan
1,20,0.137245,0.253481,0.137245,nan,0.253481,nan
2,30,0.173684,0.265045,0.173684,nan,0.265045,nan
3,40,0.189475,0.276699,0.189475,nan,0.276699,nan
4,50,0.195405,0.288515,0.195405,nan,0.288515,nan
5,60,0.204156,0.301975,0.204156,nan,0.301975,nan
6,70,0.215401,0.313176,0.215401,nan,0.313176,nan
7,80,0.218322,0.323002,0.218322,nan,0.323002,nan
8,90,0.223505,0.334054,0.223505,nan,0.334054,nan
9,100,0.228705,0.347550,0.228705,nan,0.347550,nan
10,110,0.120118,0.296149,0.120118,nan,0.296149,nan
11,120,0.203062,0.361071,0.203062,nan,0.361071,nan
12,130,0.255870,0.415294,0.255870,nan,0.415294,nan
13,140,0.293292,0.462188,0.293292,nan,0.462188,nan
14,150,0.322596,0.503831,0.322596,nan,0.503831,nan
15,160,0.355267,0.548017,0.355267,nan,0.548017,nan
16,170,0.382437,0.583473,0.382437,nan,0.583473,nan
17,180,0.401605,0.618995,0.401605,nan,0.618995,nan
18,190,0.424698,0.650341,0.424698,nan,0.650341,nan
19,200,0.441607,0.678987,0.441607,nan,0.678987,nan
