round,impressions,mean_watch_ratio,mean_watch_seconds,instant_skip_rate,completion_rate,like_rate,share_rate,follow_rate,mean_session_length,reward_per_impression,reward_per_session,mean_true_affinity
0,100000,0.451145,12.711413,0.467430,0.417700,0.077540,0.029380,0.009230,8.661008,0.102379,0.886709,0.102936
1,100000,0.492271,12.093877,0.434200,0.456660,0.094180,0.034190,0.018250,6.896076,0.137245,0.946452,0.163168
2,100000,0.533921,12.048848,0.397520,0.500330,0.106660,0.039040,0.022570,6.425084,0.173684,1.115935,0.191050
3,100000,0.550582,12.987393,0.384140,0.516900,0.112800,0.041160,0.026790,6.436663,0.189475,1.219587,0.208176
4,100000,0.556522,13.449511,0.379880,0.522460,0.115850,0.042880,0.030030,6.509569,0.195405,1.272000,0.219236
5,100000,0.563592,14.862241,0.373710,0.528920,0.119820,0.044580,0.033100,6.584579,0.204156,1.344282,0.229649
6,100000,0.573676,16.941843,0.364780,0.538950,0.124360,0.045550,0.035950,6.513385,0.215401,1.402987,0.240527
7,100000,0.574152,18.962333,0.364440,0.539780,0.125910,0.045130,0.035860,6.524860,0.218322,1.424519,0.246458
8,100000,0.578556,20.482758,0.361940,0.543110,0.125450,0.046430,0.039860,6.513809,0.223505,1.455871,0.255254
9,100000,0.582377,21.506389,0.358880,0.547110,0.128550,0.047870,0.041360,6.547502,0.228705,1.497444,0.264114
10,100000,0.465435,15.229628,0.455990,0.431260,0.089640,0.033130,0.016680,6.564264,0.120118,0.788489,0.141889
11,100000,0.557443,17.042755,0.378350,0.523100,0.122910,0.046080,0.031300,6.494350,0.203062,1.318757,0.243407
12,100000,0.614041,18.081616,0.330020,0.581900,0.149370,0.055220,0.044350,6.552651,0.255870,1.676630,0.316557
13,100000,0.652730,20.538106,0.297720,0.621310,0.170880,0.060500,0.053920,6.526563,0.293292,1.914186,0.373689
14,100000,0.679330,22.852011,0.275330,0.650960,0.187270,0.069270,0.067520,6.502373,0.322596,2.097639,0.422124
15,100000,0.711253,25.079718,0.248890,0.684770,0.205840,0.076010,0.077890,6.553939,0.355267,2.328397,0.471362
16,100000,0.738823,26.061764,0.224340,0.713580,0.221620,0.080130,0.086770,6.530399,0.382437,2.497465,0.512630
17,100000,0.759319,25.580833,0.206430,0.735930,0.233720,0.084550,0.096030,6.555228,0.401605,2.632612,0.542992
18,100000,0.781828,26.494847,0.188960,0.760510,0.249720,0.090870,0.105870,6.524008,0.424698,2.770730,0.584292
19,100000,0.798929,27.230759,0.173290,0.778280,0.256310,0.094290,0.114070,6.518480,0.441607,2.878605,0.606864
