round,sampled_requests,mean_regret,cumulative_regret
0,196,0.693683,135.961830
1,212,0.625045,268.471283
2,205,0.573095,385.955850
3,199,0.568338,499.055095
4,203,0.591574,619.144580
5,185,0.567410,724.115409
6,186,0.525541,821.866053
7,209,0.531595,932.969371
8,208,0.501285,1037.236696
9,186,0.511634,1132.400587
10,178,0.519794,1224.923832
11,190,0.714133,1360.609084
12,191,0.621559,1479.326830
13,190,0.586968,1590.850762
14,188,0.500758,1684.993199
15,206,0.460778,1779.913365
16,212,0.408622,1866.541138
17,210,0.450169,1961.076689
18,196,0.342589,2028.224163
19,195,0.306176,2087.928396
