round,samples,recall_at_10,recall_at_50,mean_distance_error
0,191,0.400000,0.380000,0.010062
1,214,0.729439,0.680374,0.011241
2,235,0.799149,0.739660,0.007263
3,204,0.789706,0.725098,0.007291
4,193,0.782383,0.732021,0.008007
5,229,0.774236,0.735721,0.006977
6,183,0.815301,0.751803,0.006774
7,203,0.829064,0.769261,0.007132
8,200,0.767500,0.728400,0.006816
9,190,0.813158,0.763053,0.007232
10,215,0.826047,0.773860,0.006355
11,190,0.746316,0.701158,0.012064
12,187,0.792513,0.755187,0.008689
13,226,0.831858,0.798584,0.006859
14,182,0.829121,0.784066,0.006847
15,212,0.851415,0.807358,0.006928
16,214,0.850467,0.806822,0.005648
17,233,0.851931,0.818112,0.004803
18,200,0.848500,0.813800,0.006341
19,192,0.847917,0.824063,0.008902
