round,impressions,mean_immediate_satisfaction,mean_regret,satisfaction_per_minute,watch_minutes,comment_rate,save_rate,profile_visit_rate,harmful_fatigue,platform_trust
0,54441,0.143231,0.101176,0.120504,64708.563751,0.225437,0.306570,0.268162,0.432999,0.000000
1,37833,-0.121626,0.240599,-0.099463,46263.275351,0.351889,0.181429,0.218830,0.349985,0.000000
2,46042,0.029209,0.177639,0.021043,63911.052075,0.276878,0.229269,0.243799,0.406222,0.000000
3,43337,-0.006871,0.198180,-0.004689,63495.161282,0.299052,0.240857,0.240487,0.383199,0.000000
4,42484,-0.018166,0.201629,-0.013321,57939.134370,0.308351,0.237195,0.238513,0.376563,0.000000
5,42124,-0.019502,0.197795,-0.018582,44208.528986,0.306690,0.226427,0.238937,0.373033,0.000000
6,42775,-0.016996,0.192647,-0.019858,36610.646262,0.300713,0.239275,0.238177,0.380989,0.000000
7,44891,0.022408,0.172125,0.028823,34899.669611,0.280101,0.237665,0.245862,0.386218,0.000000
8,45255,0.032620,0.163510,0.043020,34314.382046,0.269981,0.240725,0.251552,0.386684,0.000000
9,47471,0.063837,0.142989,0.085134,35595.966415,0.245982,0.256262,0.257905,0.386550,0.000000
10,45898,0.021702,0.159049,0.029084,34248.598527,0.269990,0.246111,0.252146,0.385914,0.000000
11,43928,-0.016558,0.187730,-0.020379,35691.891433,0.285991,0.233655,0.239551,0.379733,0.000000
12,42556,-0.048174,0.210330,-0.057898,35408.501749,0.279256,0.222530,0.232987,0.377910,0.000000
13,43695,-0.012529,0.185954,-0.015664,34950.802007,0.286600,0.238906,0.242636,0.391129,0.000000
14,45308,0.004779,0.169318,0.006011,36023.103638,0.274521,0.234329,0.246093,0.392060,0.000000
15,44163,-0.009058,0.173008,-0.010785,37090.649531,0.277427,0.227340,0.241424,0.382846,0.000000
16,43076,-0.022839,0.191946,-0.030474,32282.829304,0.293574,0.234376,0.237162,0.375257,0.000000
17,47113,0.042468,0.165900,0.060193,33239.722802,0.248403,0.252796,0.251820,0.385894,0.000000
18,42023,-0.043603,0.213866,-0.053595,34188.503833,0.285344,0.222902,0.235942,0.372125,0.000000
19,45276,0.012368,0.182688,0.014000,39997.305139,0.276151,0.232861,0.244832,0.380200,0.000000
