round,sessions,open_sessions,mean_duration_seconds,median_duration_seconds,mean_impressions,satisfaction_per_minute,regret_per_minute,mean_session_utility,early_failure_exit_rate,natural_completion_rate,harmful_fatigue_mean,next_session_starting_satisfaction,failure_exits,satisfied_exits,fatigue_exits,external_exits,regret_exits
0,6861,0,466.674100,447.000000,6.317884,0.451559,0.000108,3.310386,0.000000,0.074187,0.401916,0.000000,0,509,5951,401,0
1,7785,0,1725162.065125,637.000000,8.935260,0.000138,0.000000,3.739560,0.000000,0.042775,0.440043,0.000000,0,333,7068,384,0
2,7706,0,1370166.066442,552.000000,8.641708,0.000164,0.000000,3.524171,0.000000,0.053205,0.427492,0.000000,0,410,6881,415,0
3,7824,0,1404010.049847,576.000000,8.614775,0.000154,0.000000,3.374539,0.000128,0.050486,0.426033,0.000000,1,395,7038,390,0
4,7892,0,1390567.650912,594.000000,8.561708,0.000149,0.000000,3.237145,0.000127,0.047516,0.427693,0.000000,1,375,7120,396,0
5,7926,0,1370325.336614,589.000000,8.455842,0.000148,0.000000,3.149598,0.000252,0.050467,0.424891,0.000000,2,400,7127,397,0
6,7944,0,1345428.016490,576.000000,8.395519,0.000147,0.000000,3.075166,0.000881,0.045695,0.425457,0.000000,7,363,7180,394,0
7,7951,0,1294656.382342,560.000000,8.415671,0.000150,0.000001,3.010030,0.000252,0.047290,0.426103,0.000000,2,376,7202,371,0
8,8031,0,1214655.476155,537.000000,8.305441,0.000158,0.000001,2.969165,0.000498,0.051426,0.423563,0.000000,4,413,7228,386,0
9,8064,0,1155960.629712,512.000000,8.232639,0.000164,0.000001,2.941628,0.000496,0.059648,0.421567,0.000000,4,481,7179,400,0
10,8061,0,1115538.016623,502.000000,8.224166,0.000167,0.000001,2.874546,0.000496,0.061779,0.419761,0.000000,4,498,7145,414,0
11,8153,0,1064182.545689,497.000000,8.178707,0.000172,0.000001,2.820907,0.000491,0.062922,0.422541,0.000000,4,513,7261,375,0
12,8129,0,990438.046746,473.000000,8.026326,0.000181,0.000001,2.758444,0.001845,0.060278,0.417948,0.000000,15,490,7222,402,0
13,8166,0,995468.940362,470.000000,8.172177,0.000180,0.000001,2.746694,0.001225,0.060005,0.421247,0.000000,10,490,7296,370,0
14,8139,0,973417.115985,466.000000,8.123234,0.000180,0.000001,2.684680,0.001966,0.061801,0.419202,0.000000,16,503,7239,381,0
15,8108,0,974807.114085,458.000000,8.120745,0.000176,0.000001,2.623707,0.002343,0.054761,0.420671,0.000000,19,444,7275,370,0
16,8201,0,945914.252286,463.000000,8.037069,0.000177,0.000002,2.556828,0.002683,0.062919,0.416513,0.000000,22,516,7286,377,0
17,8240,0,916486.881675,460.000000,7.936044,0.000181,0.000002,2.518052,0.003398,0.063228,0.412899,0.000000,28,521,7317,374,0
18,8264,0,936183.016941,470.500000,7.981728,0.000175,0.000002,2.487701,0.002299,0.059172,0.414522,0.000000,19,489,7341,415,0
19,8285,1715,878264.992154,459.000000,7.854436,0.000181,0.000002,2.397242,0.003621,0.061436,0.415031,0.000000,30,509,7367,379,0
