round,impressions,mean_immediate_satisfaction,mean_regret,satisfaction_per_minute,watch_minutes,comment_rate,save_rate,profile_visit_rate,harmful_fatigue,platform_trust
0,74737,0.522590,0.000132,0.440127,88739.921473,0.132732,0.375089,0.330091,0.401916,0.000000
1,64801,0.425345,0.000140,0.373259,73843.582462,0.140229,0.377294,0.330381,0.440043,0.000000
2,67163,0.428428,0.000322,0.373564,77027.039844,0.134255,0.379331,0.331522,0.427492,0.000000
3,66362,0.410536,0.000576,0.343390,79338.211705,0.133299,0.386803,0.332449,0.426033,0.000000
4,66659,0.401364,0.000925,0.322029,83080.995020,0.129690,0.379874,0.334343,0.427693,0.000000
5,66371,0.396267,0.001020,0.316130,83195.705335,0.128731,0.386539,0.330882,0.424891,0.000000
6,66314,0.391035,0.001227,0.315349,82229.603657,0.129822,0.386253,0.328332,0.425457,0.000000
7,66793,0.384996,0.001483,0.323133,79580.411188,0.128771,0.381118,0.327519,0.426103,0.000000
8,66281,0.383207,0.001464,0.331883,76530.949554,0.127020,0.383307,0.324346,0.423563,0.000000
9,65908,0.382324,0.001664,0.338591,74420.792500,0.131456,0.381001,0.322920,0.421567,0.000000
10,66025,0.376087,0.001841,0.341228,72769.766820,0.130981,0.383082,0.322045,0.419761,0.000000
11,65701,0.372246,0.001935,0.343715,71154.566429,0.133210,0.382597,0.322111,0.422541,0.000000
12,65526,0.370288,0.002083,0.349661,69391.657990,0.132253,0.383619,0.320957,0.417948,0.000000
13,66134,0.362932,0.002438,0.350312,68516.408577,0.130493,0.386806,0.318792,0.421247,0.000000
14,66045,0.358539,0.002670,0.348142,68017.459773,0.126747,0.383602,0.319631,0.419202,0.000000
15,65963,0.353323,0.002828,0.344715,67610.170509,0.128405,0.386535,0.317951,0.420671,0.000000
16,65362,0.346086,0.003213,0.335975,67328.999042,0.128745,0.383250,0.320859,0.416513,0.000000
17,64923,0.345163,0.003499,0.329999,67906.386561,0.126488,0.381822,0.315528,0.412899,0.000000
18,65121,0.340308,0.004016,0.320495,69146.895419,0.128407,0.382995,0.316365,0.414522,0.000000
19,65124,0.337345,0.004051,0.321397,68355.551196,0.130228,0.380904,0.313801,0.415031,0.000000
