round,sessions,open_sessions,mean_duration_seconds,median_duration_seconds,mean_impressions,satisfaction_per_minute,regret_per_minute,mean_session_utility,early_failure_exit_rate,natural_completion_rate,harmful_fatigue_mean,next_session_starting_satisfaction,failure_exits,satisfied_exits,fatigue_exits,external_exits,regret_exits
0,8494,0,210.725689,168.000000,5.949729,0.492027,0.028944,1.382757,0.023664,0.131505,0.392614,0.000000,201,1117,6817,359,0
1,8626,0,363303.672734,210.000000,7.024577,0.000292,0.000019,1.383289,0.034083,0.084164,0.405329,0.000000,294,726,7254,352,0
2,8567,0,365971.642932,235.000000,7.206957,0.000304,0.000017,1.495462,0.029065,0.095483,0.396277,0.000000,249,818,7115,385,0
3,8654,0,371119.315692,246.000000,7.367345,0.000310,0.000016,1.572931,0.024035,0.091518,0.401066,0.000000,208,792,7277,377,0
4,8486,0,360128.780580,243.000000,7.450507,0.000335,0.000015,1.676638,0.021683,0.095333,0.394857,0.000000,184,809,7141,352,0
5,8517,0,451651.399671,284.000000,7.502524,0.000258,0.000013,1.604477,0.024422,0.106375,0.387975,0.000000,208,906,6995,408,0
6,8453,0,470175.088962,280.000000,7.552348,0.000254,0.000013,1.640641,0.027209,0.106471,0.383282,0.000000,230,900,6957,366,0
7,8448,0,477416.364938,293.000000,7.486151,0.000252,0.000013,1.663132,0.022846,0.095881,0.393337,0.000000,193,810,7069,376,0
8,8388,0,526847.339413,305.000000,7.538627,0.000232,0.000012,1.681862,0.025870,0.091082,0.393628,0.000000,217,764,7071,336,0
9,8389,0,566456.730957,299.000000,7.688401,0.000215,0.000011,1.684868,0.024914,0.089522,0.385705,0.000000,209,751,7021,408,0
10,8520,0,507566.511854,283.000000,7.561033,0.000236,0.000012,1.648782,0.024178,0.093192,0.394638,0.000000,206,794,7145,375,0
11,8359,0,415794.876899,228.000000,7.532001,0.000295,0.000015,1.708179,0.022610,0.111377,0.380904,0.000000,189,931,6851,388,0
12,8446,0,411264.720104,216.000000,7.671561,0.000300,0.000015,1.711152,0.024035,0.104665,0.387240,0.000000,203,884,6986,373,0
13,8563,0,382607.270583,202.000000,7.541749,0.000310,0.000015,1.641845,0.021955,0.100199,0.392424,0.000000,188,858,7125,392,0
14,8586,0,298081.123923,147.000000,7.418006,0.000376,0.000021,1.518749,0.024575,0.106569,0.389490,0.000000,211,915,7131,329,0
15,8491,0,263598.510894,163.000000,7.450006,0.000438,0.000024,1.575185,0.023437,0.103404,0.390531,0.000000,199,878,7038,376,0
16,8600,0,305903.478605,187.000000,7.469419,0.000385,0.000020,1.620691,0.023140,0.096512,0.396140,0.000000,199,830,7202,369,0
17,8570,0,336220.344224,205.000000,7.391132,0.000342,0.000019,1.560699,0.025088,0.102334,0.392154,0.000000,215,877,7129,349,0
18,8732,0,360462.927966,203.000000,7.172469,0.000297,0.000018,1.418042,0.029546,0.094595,0.396360,0.000000,258,826,7292,356,0
19,8691,1309,276518.564722,162.000000,6.994477,0.000368,0.000022,1.331752,0.033253,0.089288,0.397668,0.000000,289,776,7218,408,0
