round,impressions,mean_immediate_satisfaction,mean_regret,satisfaction_per_minute,watch_minutes,comment_rate,save_rate,profile_visit_rate,harmful_fatigue,platform_trust
0,65597,0.291435,0.014553,0.471253,40566.862508,0.111514,0.440218,0.291172,0.392614,0.000000
1,60624,0.250655,0.016411,0.449209,33827.803254,0.128711,0.402712,0.291419,0.405329,0.000000
2,62302,0.261116,0.013718,0.441227,36869.953301,0.115486,0.408542,0.294501,0.396277,0.000000
3,63127,0.261089,0.012990,0.453096,36375.793864,0.112377,0.416430,0.295104,0.401066,0.000000
4,64905,0.271657,0.012277,0.465989,37837.515915,0.104522,0.423403,0.293013,0.394857,0.000000
5,63879,0.257599,0.012657,0.382441,43026.770325,0.102021,0.405078,0.295387,0.387975,0.000000
6,64280,0.267679,0.013634,0.418823,41082.800767,0.101914,0.421531,0.294897,0.383282,0.000000
7,63793,0.267432,0.013547,0.379401,44966.407920,0.103272,0.426834,0.291819,0.393337,0.000000
8,63644,0.268366,0.013688,0.365840,46686.748418,0.103859,0.430017,0.291057,0.393628,0.000000
9,64348,0.264294,0.013919,0.388277,43800.572441,0.108286,0.406431,0.292581,0.385705,0.000000
10,63100,0.264708,0.013300,0.408224,40916.404448,0.109334,0.399398,0.290777,0.394638,0.000000
11,64790,0.273568,0.013111,0.515185,34404.063250,0.096774,0.426161,0.290724,0.380904,0.000000
12,63984,0.266431,0.013592,0.542946,31397.786220,0.095774,0.419324,0.290479,0.387240,0.000000
13,63120,0.257269,0.012840,0.532083,30519.269582,0.101046,0.417665,0.297830,0.392424,0.000000
14,63261,0.251286,0.014010,0.681388,23329.713255,0.103128,0.422061,0.291222,0.389490,0.000000
15,64088,0.258292,0.014264,0.645028,25663.128561,0.114390,0.429347,0.291193,0.390531,0.000000
16,63337,0.265444,0.013351,0.559586,30044.347240,0.116235,0.415634,0.292736,0.396140,0.000000
17,63692,0.258548,0.014494,0.488603,33703.160844,0.113908,0.423727,0.293538,0.392154,0.000000
18,60960,0.241066,0.015369,0.447411,32845.431902,0.127329,0.417881,0.291683,0.396360,0.000000
19,61009,0.245563,0.014354,0.540063,27740.396177,0.125949,0.407301,0.291023,0.397668,0.000000
