round,sessions,open_sessions,mean_duration_seconds,median_duration_seconds,mean_impressions,satisfaction_per_minute,regret_per_minute,mean_session_utility,early_failure_exit_rate,natural_completion_rate,harmful_fatigue_mean,next_session_starting_satisfaction,failure_exits,satisfied_exits,fatigue_exits,external_exits,regret_exits
0,9517,0,447.337922,447.000000,6.039718,0.087274,0.090371,-0.318489,0.057476,0.057161,0.360896,0.000000,547,544,8085,341,0
1,9343,0,215935.582254,438.000000,6.001927,0.000184,0.000142,-0.200754,0.085305,0.050091,0.365907,0.000000,797,468,7745,333,0
2,9592,0,251203.012093,261.000000,5.444954,0.000057,0.000156,-1.034700,0.219454,0.068495,0.356532,0.000000,2105,657,6512,317,1
3,9621,0,119090.742750,248.000000,5.328552,0.000088,0.000332,-1.072899,0.206320,0.078266,0.349970,0.000000,1985,753,6577,306,0
4,9605,0,112784.591983,255.000000,5.221239,0.000073,0.000366,-1.193676,0.233732,0.067985,0.351824,0.000000,2245,653,6409,296,2
5,9583,0,112121.172493,250.000000,5.201398,0.000082,0.000362,-1.184602,0.241678,0.064176,0.354784,0.000000,2316,615,6370,277,5
6,9457,0,126912.761870,261.000000,5.347573,0.000154,0.000291,-0.906373,0.220366,0.069049,0.353992,0.000000,2084,653,6374,344,2
7,9489,0,164574.288650,272.000000,5.508589,0.000142,0.000219,-0.794813,0.200653,0.067341,0.361732,0.000000,1904,639,6639,303,4
8,9530,0,159815.784680,272.000000,5.502099,0.000135,0.000235,-0.844777,0.199370,0.068416,0.363552,0.000000,1900,652,6650,320,8
9,9508,0,149369.355911,275.000000,5.434161,0.000127,0.000264,-0.941413,0.208772,0.065313,0.365096,0.000000,1985,621,6592,302,8
10,9621,0,157184.922461,279.000000,5.407754,0.000109,0.000261,-0.994740,0.207983,0.065898,0.363647,0.000000,2001,634,6709,267,10
11,9577,0,118518.557377,270.000000,5.214681,0.000121,0.000350,-1.081103,0.223974,0.067662,0.360633,0.000000,2145,648,6440,339,5
12,9590,0,134858.512617,274.000000,5.253389,0.000111,0.000311,-1.084044,0.228259,0.063921,0.357723,0.000000,2189,613,6482,294,12
13,9527,0,128758.509499,278.000000,5.264301,0.000132,0.000316,-1.017687,0.222106,0.068857,0.360273,0.000000,2116,656,6427,321,7
14,9522,0,151391.828082,283.000000,5.363474,0.000107,0.000269,-1.032376,0.222012,0.064587,0.360100,0.000000,2114,615,6492,293,8
15,9565,0,158568.383377,288.000000,5.414741,0.000126,0.000248,-0.941377,0.220282,0.062101,0.359459,0.000000,2107,594,6540,315,9
16,9505,0,152193.598527,288.000000,5.396949,0.000130,0.000255,-0.923778,0.214203,0.066176,0.356257,0.000000,2036,629,6508,326,6
17,9543,0,171821.184219,294.000000,5.458346,0.000121,0.000227,-0.912137,0.213769,0.061721,0.360928,0.000000,2040,589,6643,266,5
18,9502,0,160110.214481,293.000000,5.426331,0.000118,0.000245,-0.936618,0.209956,0.060829,0.358251,0.000000,1995,578,6611,314,4
19,9526,474,164090.784799,295.000000,5.429036,0.000115,0.000239,-0.937422,0.209427,0.063615,0.358482,0.000000,1995,606,6628,293,4
