metric,exact_vector,hnsw_ef64,hnsw_ef128
mean_true_affinity,0.107868,0.106200,0.106200
reward_per_impression,0.027661,0.029788,0.029788
reward_per_session,0.449314,0.483991,0.483991
mean_watch_ratio,0.362508,0.365503,0.365503
mean_watch_seconds,14.173926,13.595777,13.595777
completion_rate,0.323474,0.326798,0.326798
instant_skip_rate,0.555847,0.552789,0.552789
like_rate,0.061803,0.062730,0.062730
share_rate,0.022843,0.023170,0.023170
follow_rate,0.008703,0.008760,0.008760
mean_session_length,16.243655,16.247746,16.247746
oracle_mean_regret,0.675779,0.676611,0.676611
oracle_cumulative_regret,2665.947825,2669.232318,2669.232318
live_recall_at_10,1.000000,0.400000,0.600000
live_recall_at_50,1.000000,0.380000,0.520000
mean_distance_error,0.000000,0.010062,0.006066
retrieval_sampled_requests,4093,4093,4093
retrieval_p50_ms,6.325458,0.131708,0.130125
retrieval_p95_ms,8.918377,0.143166,0.141333
retrieval_p99_ms,9.780542,0.157917,0.155625
ranking_p50_ms,0.001458,0.004333,0.004458
ranking_p95_ms,0.002792,0.005375,0.005542
ranking_p99_ms,0.004500,0.006834,0.006958
recommend_p50_ms,6.327125,0.152417,0.150209
recommend_p99_ms,9.783708,0.182750,0.178833
total_wall_seconds,2920.832335,93.892130,93.191511
