round,sampled_requests,mean_regret,cumulative_regret
0,196,0.679055,133.094729
1,212,0.663392,273.733918
2,205,0.649820,406.947089
3,199,0.658330,537.954670
4,203,0.687146,677.445303
5,185,0.683664,803.923209
6,186,0.673016,929.104253
7,209,0.682949,1071.840680
8,208,0.683651,1214.040165
9,186,0.686133,1341.660871
10,178,0.663928,1459.840105
11,190,0.680181,1589.074431
12,191,0.693348,1721.503952
13,190,0.683873,1851.439813
14,188,0.681219,1979.509005
15,206,0.672714,2118.088032
16,212,0.679867,2262.219880
17,210,0.667973,2402.494131
18,196,0.667075,2533.240743
19,195,0.697393,2669.232318
