round,impressions,mean_watch_ratio,mean_watch_seconds,instant_skip_rate,completion_rate,like_rate,share_rate,follow_rate,mean_session_length,reward_per_impression,reward_per_session,mean_true_affinity
0,100000,0.332810,18.407140,0.588320,0.290450,0.057070,0.020800,0.007840,8.626639,0.008029,0.069261,0.116846
1,100000,0.381604,13.311398,0.536150,0.342360,0.064410,0.024180,0.007450,6.890849,0.041882,0.288601,0.113597
2,100000,0.377291,14.237954,0.541180,0.338340,0.065450,0.023770,0.008980,6.432109,0.040746,0.262084,0.112306
3,100000,0.350405,13.005179,0.568530,0.310490,0.059150,0.022310,0.008440,6.422195,0.014847,0.095348,0.111498
4,100000,0.361472,14.634150,0.558850,0.322580,0.061690,0.022450,0.008100,6.560819,0.027264,0.178875,0.110537
5,100000,0.359090,11.578958,0.559520,0.319070,0.061190,0.022420,0.008110,6.567713,0.022799,0.149739,0.109370
6,100000,0.371106,9.261411,0.548040,0.332280,0.063330,0.023770,0.009650,6.559528,0.027238,0.178666,0.108530
7,100000,0.385911,12.714858,0.531710,0.348280,0.067030,0.024650,0.008890,6.498993,0.042878,0.278661,0.107829
8,100000,0.362125,13.844640,0.555390,0.322660,0.061290,0.022360,0.007940,6.526137,0.027446,0.179120,0.107327
9,100000,0.358027,14.056746,0.559760,0.318120,0.062190,0.022950,0.008250,6.526989,0.024410,0.159322,0.106949
10,100000,0.364189,15.185273,0.555370,0.326190,0.063040,0.023180,0.009380,6.519330,0.029380,0.191537,0.106530
11,100000,0.349827,15.106977,0.566840,0.310380,0.058540,0.021130,0.007020,6.548360,0.017635,0.115483,0.106136
12,100000,0.346012,17.431398,0.572900,0.306730,0.058750,0.021770,0.009060,6.539795,0.017755,0.116113,0.105998
13,100000,0.398365,9.304416,0.518320,0.362000,0.067100,0.026080,0.009840,6.518480,0.052662,0.343274,0.105825
14,100000,0.366809,15.063709,0.551530,0.328400,0.061710,0.023050,0.007880,6.530399,0.030475,0.199017,0.105434
15,100000,0.366176,15.670500,0.551720,0.327860,0.061830,0.022620,0.008750,6.535093,0.034343,0.224435,0.105086
16,100000,0.360798,18.625920,0.558010,0.322420,0.061710,0.022340,0.009140,6.546216,0.034434,0.225412,0.104699
17,100000,0.366326,14.363272,0.550290,0.328170,0.062680,0.023570,0.009690,6.501105,0.033221,0.215976,0.104507
18,100000,0.339907,11.687568,0.577600,0.299600,0.057460,0.021180,0.010120,6.526137,0.005697,0.037177,0.104351
19,100000,0.351914,15.987051,0.566910,0.313090,0.060440,0.022280,0.009530,6.554368,0.020077,0.131595,0.104012
