round,sampled_requests,mean_regret,cumulative_regret
0,196,0.676403,132.574902
1,212,0.663980,273.338632
2,205,0.652749,407.152142
3,199,0.654760,537.449444
4,203,0.684315,676.365296
5,185,0.681937,802.523553
6,186,0.679222,928.858786
7,209,0.680838,1071.153877
8,208,0.684841,1213.600889
9,186,0.686278,1341.248536
10,178,0.664906,1459.601740
11,190,0.677890,1588.400857
12,191,0.691465,1720.470742
13,190,0.682727,1850.188903
14,188,0.687397,1979.419529
15,206,0.673653,2118.192114
16,212,0.677229,2261.764726
17,210,0.669124,2402.280701
18,196,0.659208,2531.485375
19,195,0.689551,2665.947825
