round,samples,recall_at_10,recall_at_50,mean_distance_error
0,191,1.000000,1.000000,0.000000
1,214,1.000000,1.000000,0.000000
2,235,1.000000,1.000000,0.000000
3,204,1.000000,1.000000,0.000000
4,193,1.000000,1.000000,0.000000
5,229,1.000000,1.000000,0.000000
6,183,1.000000,1.000000,0.000000
7,203,1.000000,1.000000,0.000000
8,200,1.000000,1.000000,0.000000
9,190,1.000000,1.000000,0.000000
10,215,1.000000,1.000000,0.000000
11,190,1.000000,1.000000,0.000000
12,187,1.000000,1.000000,0.000000
13,226,1.000000,1.000000,0.000000
14,182,1.000000,1.000000,0.000000
15,212,1.000000,1.000000,0.000000
16,214,1.000000,1.000000,0.000000
17,233,1.000000,1.000000,0.000000
18,200,1.000000,1.000000,0.000000
19,192,1.000000,1.000000,0.000000
