round,impressions,mean_watch_ratio,mean_watch_seconds,instant_skip_rate,completion_rate,like_rate,share_rate,follow_rate,mean_session_length,reward_per_impression,reward_per_session,mean_true_affinity
0,100000,0.337497,14.570744,0.581880,0.295130,0.057980,0.020790,0.006520,8.667765,0.006784,0.058801,0.115994
1,100000,0.399991,13.035336,0.518880,0.362010,0.068500,0.025580,0.009220,6.889899,0.058955,0.406194,0.112688
2,100000,0.351431,15.218720,0.568770,0.312170,0.060140,0.023030,0.008260,6.444545,0.019069,0.122889,0.111590
3,100000,0.344152,15.906819,0.576140,0.304450,0.059320,0.022290,0.007240,6.412312,0.014760,0.094645,0.110241
4,100000,0.382838,7.479816,0.536090,0.344540,0.067000,0.024320,0.008740,6.554368,0.034552,0.226469,0.108695
5,100000,0.373421,13.392192,0.544860,0.334720,0.064650,0.024610,0.007940,6.543646,0.035551,0.232635,0.107523
6,100000,0.359152,17.801084,0.559200,0.319890,0.062270,0.022350,0.008690,6.528694,0.029955,0.195567,0.106841
7,100000,0.371826,15.310305,0.545080,0.333000,0.063970,0.023140,0.008790,6.493085,0.038175,0.247877,0.106227
8,100000,0.357883,13.265472,0.559830,0.318740,0.061270,0.022940,0.009010,6.538084,0.023129,0.151217,0.105958
9,100000,0.373433,12.429673,0.543730,0.335070,0.064640,0.024010,0.008840,6.535521,0.034916,0.228192,0.105554
10,100000,0.364299,16.175001,0.554340,0.325750,0.062960,0.022650,0.010120,6.518480,0.033932,0.221186,0.104949
11,100000,0.389724,10.862785,0.527620,0.352560,0.066310,0.024630,0.009820,6.522306,0.048536,0.316564,0.104557
12,100000,0.338402,15.771219,0.579540,0.298960,0.057560,0.021010,0.009180,6.526137,0.010181,0.066443,0.104359
13,100000,0.374009,14.802619,0.542890,0.336180,0.062920,0.023990,0.008870,6.526137,0.039610,0.258503,0.103888
14,100000,0.349996,11.593815,0.568570,0.310410,0.059300,0.021220,0.008710,6.529546,0.011432,0.074645,0.103331
15,100000,0.392064,14.640608,0.526270,0.355600,0.067890,0.025220,0.008470,6.530399,0.054830,0.358061,0.102948
16,100000,0.354557,12.570926,0.563880,0.316510,0.059870,0.023150,0.007730,6.509145,0.019191,0.124920,0.102600
17,100000,0.379677,11.737969,0.537510,0.341630,0.065280,0.023540,0.010220,6.574190,0.041848,0.275117,0.102369
18,100000,0.353170,12.551099,0.565410,0.314420,0.060220,0.022350,0.008490,6.509569,0.016220,0.105588,0.101995
19,100000,0.362538,12.799338,0.555280,0.324230,0.062550,0.022580,0.010350,6.540650,0.024137,0.157874,0.101698
