metric,hnsw,hnsw_ranker,delta_pct
reward_per_impression,0.029788209575586488,0.06710499664050534,+125.3
mean_true_affinity,0.1062002732378534,0.09214077503294629,-13.2
completion_rate,0.3267985,0.376485,+15.2
like_rate,0.06273,0.0701725,+11.9
share_rate,0.02317,0.0259585,+12.0
follow_rate,0.0087605,0.0102355,+16.8
instant_skip_rate,0.5527885,0.5052055,-8.6
mean_watch_ratio,0.36550318994984976,0.41068250037636206,+12.4
mean_watch_seconds,13.595776918136886,12.015065082269285,-11.6
oracle_mean_regret_affinity_units,0.6766114873802939,0.6914399854441883,+2.2
retrieval_p50_ms,0.128000,0.999958,+681
retrieval_p95_ms,0.135625,1.044166,+670
ranking_p50_ms,0.004334,0.116292,+2583
total_p50_ms,0.147542,1.196375,+711
total_p95_ms,0.155959,1.244250,+698
total_wall_seconds,88.017,297.920,+238
