round,sampled_requests,mean_regret,cumulative_regret
0,196,0.691262,135.487281
1,212,0.669863,277.498333
2,205,0.670554,414.961917
3,199,0.665608,547.417957
4,203,0.698551,689.223824
5,185,0.695911,817.967282
6,186,0.684520,945.287983
7,209,0.693381,1090.204558
8,208,0.708993,1237.675036
9,186,0.690493,1366.106679
10,178,0.684276,1487.907859
11,190,0.697161,1620.368418
12,191,0.698458,1753.773978
13,190,0.709371,1888.554495
14,188,0.723982,2024.663109
15,206,0.676434,2164.008410
16,212,0.707100,2313.913642
17,210,0.706056,2462.185390
18,196,0.663696,2592.269845
19,195,0.694671,2727.730743
