metric,frozen,learning,delta_pct
reward_per_impression,0.06753497478909484,0.21409978567096394,217.0
mean_true_affinity,0.09251127287196173,0.24210600529026594,161.7
oracle_mean_regret,0.6897795575288594,0.541612791860063,-21.5
completion_rate,0.3781865,0.535596,41.6
like_rate,0.0702835,0.122843,74.8
share_rate,0.025963,0.045182,74.0
follow_rate,0.0101995,0.035353,246.6
instant_skip_rate,0.5033625,0.3676635,-27.0
mean_watch_ratio,0.41247252261885475,0.5710472717794071,38.4
final_estimated_hidden_cosine,0.2160660400306544,0.4246640392045774,96.5
live_recall_at_10,0.40000000000000047,0.6935255313950649,73.4
live_recall_at_50,0.38000000000000006,0.6246322990471537,64.4
mean_distance_error,0.010062438249587993,0.00970895839202034,-3.5
regret_first_10_impressions,0.6937,0.6937,0.0
regret_first_25_impressions,0.6759,0.6316,-6.6
regret_first_50_impressions,0.6795,0.6118,-10.0
regret_first_100_impressions,0.6859,0.5844,-14.8
total_latency_p50_ms,2.056875,2.154083,4.7
total_latency_p95_ms,2.471333,2.438167,-1.3
wall_seconds,472.33891475,492.05408662499997,4.2
