round,interactions_per_user,mean_reward_per_impression,mean_estimated_hidden_cosine
0,10,0.102379,0.216066
1,20,0.072270,0.216066
2,30,0.072412,0.216066
3,40,0.092879,0.216066
4,50,0.072708,0.216066
5,60,0.083837,0.216066
6,70,0.076974,0.216066
7,80,0.061830,0.216066
8,90,0.069112,0.216066
9,100,0.072614,0.216066
10,110,0.063528,0.216066
11,120,0.075127,0.216066
12,130,0.083844,0.216066
13,140,0.060754,0.216066
14,150,0.062451,0.216066
15,160,0.062517,0.216066
16,170,0.039282,0.216066
17,180,0.042420,0.216066
18,190,0.054104,0.216066
19,200,0.029656,0.216066
