round,impressions,mean_watch_ratio,mean_watch_seconds,instant_skip_rate,completion_rate,like_rate,share_rate,follow_rate,mean_session_length,reward_per_impression,reward_per_session,mean_true_affinity
0,100000,0.451145,12.711413,0.467430,0.417700,0.077540,0.029380,0.009230,8.661008,0.102379,0.886709,0.102936
1,100000,0.419719,10.292823,0.497210,0.384520,0.071590,0.026460,0.009900,6.897027,0.072270,0.498445,0.100309
2,100000,0.423760,8.495092,0.493410,0.389380,0.071620,0.026690,0.009340,6.412312,0.072412,0.464331,0.100866
3,100000,0.444882,9.366707,0.472360,0.411400,0.075820,0.028640,0.010090,6.402868,0.092879,0.594691,0.099362
4,100000,0.420186,10.698242,0.497320,0.385300,0.073540,0.026160,0.008990,6.538939,0.072708,0.475432,0.097461
5,100000,0.436256,9.496427,0.479450,0.402880,0.074520,0.027980,0.010890,6.585880,0.083837,0.552140,0.095987
6,100000,0.423166,11.753918,0.494140,0.388930,0.072840,0.026470,0.010410,6.527841,0.076974,0.502477,0.095280
7,100000,0.402012,12.711061,0.512920,0.366870,0.069120,0.025840,0.010630,6.529120,0.061830,0.403697,0.092505
8,100000,0.413832,12.270868,0.502030,0.380420,0.071340,0.024400,0.010760,6.502373,0.069112,0.449395,0.090719
9,100000,0.416826,11.851683,0.498160,0.382830,0.070540,0.025710,0.011420,6.529546,0.072614,0.474137,0.090374
10,100000,0.408224,10.014640,0.505810,0.374860,0.068650,0.025850,0.011210,6.519330,0.063528,0.414161,0.084576
11,100000,0.419925,11.511254,0.494170,0.386920,0.071230,0.026370,0.010580,6.541934,0.075127,0.491475,0.088350
12,100000,0.428710,12.314858,0.487360,0.395960,0.074160,0.027690,0.011040,6.518055,0.083844,0.546500,0.090769
13,100000,0.406665,10.085909,0.509430,0.374380,0.069020,0.025270,0.011640,6.558667,0.060754,0.398465,0.079127
14,100000,0.406056,11.305381,0.505460,0.371730,0.067190,0.025650,0.009800,6.499838,0.062451,0.405923,0.084074
15,100000,0.405974,12.019540,0.510320,0.371770,0.069540,0.025630,0.010380,6.553080,0.062517,0.409676,0.094402
16,100000,0.378753,11.897851,0.536760,0.342660,0.064160,0.023400,0.009590,6.522732,0.039282,0.256225,0.088845
17,100000,0.380909,13.281790,0.533930,0.345630,0.063380,0.023700,0.008940,6.529973,0.042420,0.277004,0.084939
18,100000,0.396385,12.563791,0.520010,0.360710,0.067420,0.024990,0.009920,6.521456,0.054104,0.352835,0.094746
19,100000,0.366064,11.903577,0.549570,0.328880,0.062450,0.022980,0.009230,6.513385,0.029656,0.193164,0.094599
