round,sampled_requests,mean_regret,cumulative_regret
0,196,0.693683,135.961830
1,212,0.667874,277.551070
2,205,0.667238,414.334791
3,199,0.671395,547.942486
4,203,0.698385,689.714723
5,185,0.686579,816.731815
6,186,0.692673,945.568995
7,209,0.696499,1091.137318
8,208,0.692990,1235.279180
9,186,0.693139,1364.203124
10,178,0.681317,1485.477613
11,190,0.696796,1617.868873
12,191,0.701493,1751.853958
13,190,0.709889,1886.732809
14,188,0.700617,2018.448748
15,206,0.686145,2159.794626
16,212,0.695624,2307.266947
17,210,0.698531,2453.958560
18,196,0.673156,2585.897066
19,195,0.693760,2721.180354
