round,impressions,mean_watch_ratio,mean_watch_seconds,instant_skip_rate,completion_rate,like_rate,share_rate,follow_rate,mean_session_length,reward_per_impression,reward_per_session,mean_true_affinity
0,100000,0.451145,12.711413,0.467430,0.417700,0.077540,0.029380,0.009230,8.661008,0.102379,0.886709,0.102936
1,100000,0.489669,12.087778,0.435290,0.453390,0.092800,0.034360,0.016880,6.887052,0.135268,0.931598,0.160276
2,100000,0.524847,12.268264,0.407050,0.490270,0.102190,0.038200,0.020500,6.433764,0.165155,1.062565,0.183392
3,100000,0.541345,13.227885,0.392290,0.507160,0.107680,0.040860,0.023290,6.427975,0.181227,1.164923,0.195163
4,100000,0.547351,13.121738,0.387760,0.512290,0.111260,0.040870,0.024850,6.544074,0.186041,1.217469,0.200139
5,100000,0.548657,13.677104,0.385210,0.513500,0.111170,0.041070,0.025220,6.576351,0.188545,1.239936,0.205699
6,100000,0.554724,14.956637,0.381370,0.519920,0.115740,0.041160,0.027220,6.525711,0.194490,1.269188,0.216190
7,100000,0.560507,16.554055,0.376240,0.524630,0.117450,0.042610,0.029910,6.518055,0.202359,1.318988,0.226531
8,100000,0.569411,17.057044,0.366880,0.533790,0.119380,0.044120,0.032790,6.512537,0.211699,1.378698,0.234093
9,100000,0.571545,18.806952,0.366150,0.536140,0.120880,0.044210,0.033910,6.556947,0.215443,1.412648,0.238283
10,100000,0.580360,19.124082,0.358520,0.543880,0.124890,0.045060,0.036110,6.514658,0.223930,1.458824,0.251072
11,100000,0.584612,20.282188,0.357350,0.548570,0.129340,0.047420,0.038840,6.506181,0.229090,1.490500,0.260643
12,100000,0.587528,21.200717,0.353370,0.551850,0.130390,0.048610,0.039490,6.526137,0.233099,1.521237,0.264000
13,100000,0.594051,21.775782,0.348710,0.557770,0.132540,0.049200,0.042220,6.504911,0.239383,1.557163,0.273034
14,100000,0.601472,22.357354,0.343690,0.565840,0.137600,0.049150,0.045560,6.545788,0.245967,1.610046,0.285238
15,100000,0.610709,22.385860,0.335290,0.574110,0.138760,0.051560,0.047970,6.528694,0.254279,1.660108,0.292704
16,100000,0.615367,22.383080,0.331160,0.579210,0.140260,0.052420,0.049490,6.539367,0.259046,1.693996,0.299600
17,100000,0.622753,21.162925,0.325020,0.587580,0.145770,0.052350,0.052190,6.538939,0.264557,1.729924,0.308257
18,100000,0.630919,22.282807,0.318490,0.595820,0.149840,0.055040,0.054450,6.523583,0.273344,1.783183,0.318981
19,100000,0.633974,22.483687,0.316000,0.598500,0.151380,0.055990,0.056940,6.535948,0.276695,1.808463,0.325888
