round,samples,recall_at_10,recall_at_50,mean_distance_error
0,191,0.400000,0.380000,0.010062
1,214,0.564486,0.500467,0.017216
2,235,0.564681,0.509617,0.012139
3,204,0.614706,0.537843,0.012744
4,193,0.675648,0.576684,0.009830
5,229,0.689083,0.596507,0.009242
6,183,0.658470,0.584809,0.011247
7,203,0.666502,0.599507,0.009943
8,200,0.690500,0.607700,0.011431
9,190,0.705263,0.636105,0.010512
10,215,0.760465,0.674233,0.006440
11,190,0.745789,0.675263,0.009597
12,187,0.720321,0.655615,0.010592
13,226,0.790708,0.710708,0.005076
14,182,0.731868,0.672747,0.008288
15,212,0.768396,0.708396,0.007707
16,214,0.780374,0.718037,0.007249
17,233,0.778970,0.717425,0.008077
18,200,0.759500,0.694100,0.010108
19,192,0.792188,0.727604,0.007151
