round,mean_unique_topics,mean_unique_creators,mean_intra_list_similarity,mean_topic_hhi,mean_creator_hhi,repetition_rate
0,4.535400,9.996500,0.385122,0.258798,0.100070,0.000000
1,2.998900,6.969500,0.581921,0.470822,0.174075,0.000000
2,2.646300,6.334300,0.614136,0.550396,0.196249,0.000000
3,2.494500,5.871100,0.638561,0.593528,0.220106,0.000000
4,2.400800,5.718100,0.646893,0.613321,0.224951,0.000000
5,2.359300,5.481900,0.663537,0.632983,0.242125,0.000000
6,2.432100,5.445600,0.650651,0.621499,0.250613,0.000000
7,2.504100,5.450400,0.642960,0.611190,0.251179,0.000000
8,2.602500,5.501900,0.629301,0.591415,0.257346,0.000000
9,2.647800,5.434900,0.621303,0.583943,0.265137,0.000000
10,2.685200,5.512000,0.610461,0.573333,0.254217,0.000000
11,2.706300,5.494800,0.610605,0.568288,0.259561,0.000000
12,2.729600,5.591500,0.607870,0.566242,0.249188,0.000000
13,2.854600,5.820200,0.590966,0.545018,0.236013,0.000000
14,2.920600,5.913000,0.584847,0.534377,0.231221,0.000000
15,2.974700,5.957000,0.575541,0.526986,0.229206,0.000000
16,2.992400,5.969100,0.576254,0.523430,0.227658,0.000000
17,3.055400,6.052100,0.564433,0.513531,0.224535,0.000000
18,3.157000,6.131900,0.554080,0.498032,0.222996,0.000000
19,3.204000,6.161300,0.543458,0.489273,0.221669,0.000000
