round,interactions_per_user,mean_reward_per_impression,mean_estimated_hidden_cosine
0,10,0.094825,0.255960
1,20,0.129370,0.267085
2,30,0.133849,0.274975
3,40,0.152820,0.281738
4,50,0.158620,0.289535
5,60,0.169001,0.296290
6,70,0.170908,0.302840
7,80,0.181275,0.309764
8,90,0.187104,0.315801
9,100,0.192731,0.321615
10,110,0.195058,0.328259
11,120,0.200720,0.333852
12,130,0.204702,0.338706
13,140,0.210676,0.344274
14,150,0.211106,0.350555
15,160,0.216349,0.356940
16,170,0.223660,0.363190
17,180,0.224774,0.370509
18,190,0.230875,0.376466
19,200,0.233511,0.382588
