round,impressions,mean_watch_ratio,mean_watch_seconds,instant_skip_rate,completion_rate,like_rate,share_rate,follow_rate,mean_session_length,reward_per_impression,reward_per_session,mean_true_affinity
0,100000,0.445076,11.499257,0.474210,0.411640,0.078120,0.028160,0.008690,8.646031,0.094825,0.819860,0.104775
1,70779,0.483460,11.817851,0.440554,0.446813,0.090239,0.033626,0.014849,5.465982,0.129370,0.707135,0.153945
2,63921,0.488898,12.060565,0.438698,0.452152,0.092771,0.035606,0.015676,4.824226,0.133849,0.645717,0.166217
3,60383,0.512333,11.648276,0.418181,0.477767,0.099631,0.036865,0.019360,4.597457,0.152820,0.702585,0.173756
4,58888,0.515962,12.538182,0.413989,0.481762,0.102432,0.039312,0.020157,4.504551,0.158620,0.714514,0.181103
5,57383,0.525778,13.831035,0.406131,0.491661,0.109771,0.039106,0.022603,4.433859,0.169001,0.749324,0.190862
6,57861,0.529615,13.447189,0.404677,0.494115,0.109037,0.038938,0.023816,4.474250,0.170908,0.764686,0.197753
7,58712,0.537928,14.664891,0.394315,0.502674,0.110931,0.040401,0.027115,4.544624,0.181275,0.823829,0.205126
8,60142,0.543481,15.707153,0.390775,0.508264,0.113232,0.041668,0.026687,4.609995,0.187104,0.862551,0.212057
9,60491,0.550238,16.098769,0.386454,0.515515,0.112975,0.042717,0.027227,4.651365,0.192731,0.896463,0.217386
10,61107,0.551539,16.441696,0.384440,0.515718,0.115470,0.043236,0.028556,4.680018,0.195058,0.912874,0.221053
11,61631,0.557993,16.378148,0.380085,0.522805,0.120475,0.043566,0.031397,4.727754,0.200720,0.948956,0.229264
12,62182,0.561485,17.848860,0.376926,0.524718,0.119713,0.042938,0.030748,4.746718,0.204702,0.971662,0.231903
13,63905,0.565688,19.277336,0.371505,0.529020,0.119412,0.043878,0.032032,4.844224,0.210676,1.020561,0.237706
14,64897,0.565814,18.793234,0.371250,0.528607,0.121223,0.044162,0.033468,4.905662,0.211106,1.035617,0.241722
15,65770,0.571819,19.445099,0.367614,0.534940,0.122716,0.045583,0.034210,4.987488,0.216349,1.079036,0.247361
16,66336,0.580157,19.623501,0.360573,0.543506,0.124970,0.046988,0.035486,4.991798,0.223660,1.116464,0.253211
17,67152,0.580301,20.161242,0.361285,0.544064,0.127904,0.046626,0.036678,5.015835,0.224774,1.127428,0.255887
18,68674,0.588028,20.224809,0.355054,0.552130,0.129307,0.046015,0.038734,5.131435,0.230875,1.184722,0.261445
19,69485,0.591370,19.972501,0.351860,0.554911,0.129942,0.047046,0.039030,5.151998,0.233511,1.203050,0.264809
