round,sampled_requests,mean_regret,cumulative_regret
0,196,0.687215,134.694060
1,212,0.603432,262.621540
2,205,0.590741,383.723485
3,199,0.571669,497.485550
4,203,0.582057,615.643069
5,185,0.577368,722.456120
6,186,0.560758,826.757062
7,209,0.546845,941.047701
8,208,0.548661,1055.169198
9,186,0.559821,1159.295898
10,178,0.537480,1254.967284
11,190,0.541236,1357.802069
12,191,0.536613,1460.295109
13,190,0.532162,1561.405941
14,188,0.538849,1662.709550
15,206,0.521561,1770.151149
16,212,0.523669,1881.169063
17,210,0.507506,1987.745391
18,196,0.500587,2085.860479
19,195,0.521910,2187.632966
