round,samples,recall_at_10,recall_at_50,mean_distance_error
0,191,0.400000,0.380000,0.010062
1,214,0.609346,0.527103,0.014385
2,235,0.664681,0.575234,0.012547
3,204,0.646569,0.570490,0.012494
4,193,0.666839,0.577617,0.012182
5,229,0.646288,0.566812,0.011149
6,183,0.695628,0.603607,0.009514
7,203,0.699015,0.617833,0.007632
8,200,0.705500,0.616000,0.010675
9,190,0.681053,0.590316,0.010345
10,215,0.676744,0.597209,0.011830
11,190,0.700526,0.621368,0.007892
12,187,0.721925,0.628877,0.007593
13,226,0.707965,0.628407,0.009234
14,182,0.700549,0.631429,0.010054
15,212,0.704717,0.626038,0.010009
16,214,0.704673,0.632056,0.010418
17,233,0.747639,0.676824,0.008515
18,200,0.701000,0.644400,0.010885
19,192,0.697917,0.626562,0.011022
