round,mean_unique_topics,mean_unique_creators,mean_intra_list_similarity,mean_topic_hhi,mean_creator_hhi,repetition_rate
0,5.000000,10.000000,0.479186,0.240000,0.100000,0.000000
1,3.067500,7.120000,0.570923,0.450610,0.167524,0.000000
2,2.562000,6.214300,0.624441,0.559017,0.200895,0.000000
3,2.470800,5.908700,0.642209,0.594017,0.214549,0.000000
4,2.424200,5.726300,0.644453,0.607720,0.227516,0.000000
5,2.371200,5.450100,0.653640,0.624066,0.253132,0.000000
6,2.422900,5.340000,0.643783,0.619522,0.267621,0.000000
7,2.518600,5.438100,0.636436,0.605289,0.256691,0.000000
8,2.543600,5.501600,0.630875,0.600694,0.251584,0.000000
9,2.624900,5.562600,0.627754,0.590687,0.246541,0.000000
10,2.657400,5.568700,0.627492,0.587835,0.248000,0.000000
11,2.672700,5.547400,0.624650,0.586415,0.254281,0.000000
12,2.707700,5.653100,0.618411,0.579993,0.244034,0.000000
13,2.736300,5.646200,0.616648,0.578386,0.246212,0.000000
14,2.772700,5.677500,0.607531,0.571107,0.249029,0.000000
15,2.802700,5.675700,0.600204,0.562881,0.248331,0.000000
16,2.919800,5.833900,0.585743,0.544613,0.238413,0.000000
17,2.988100,5.930900,0.575904,0.531827,0.231647,0.000000
18,3.089200,6.057100,0.564352,0.514008,0.229354,0.000000
19,3.098900,6.098100,0.556595,0.508697,0.223598,0.000000
