round,impressions,mean_watch_ratio,mean_watch_seconds,instant_skip_rate,completion_rate,like_rate,share_rate,follow_rate,mean_session_length,reward_per_impression,reward_per_session,mean_true_affinity
0,100000,0.399176,14.328326,0.519760,0.363150,0.068150,0.025400,0.007570,8.650519,0.059794,0.517252,0.103454
1,71899,0.482871,12.803319,0.441703,0.445583,0.090822,0.033839,0.014284,5.489730,0.129846,0.712820,0.154756
2,63030,0.495223,13.126985,0.433873,0.459924,0.095827,0.034809,0.016992,4.780070,0.140409,0.671167,0.168064
3,60235,0.514480,13.171382,0.416137,0.479289,0.100540,0.037088,0.018511,4.569489,0.157238,0.718497,0.179147
4,59346,0.521470,12.603099,0.410036,0.486284,0.102298,0.038250,0.020642,4.524013,0.162377,0.734597,0.184484
5,57934,0.524201,12.607182,0.408430,0.489505,0.107433,0.039614,0.022042,4.479202,0.165740,0.742381,0.190478
6,58044,0.531583,13.361287,0.400507,0.497743,0.107005,0.039057,0.024344,4.475941,0.172990,0.774294,0.196450
7,58950,0.534224,13.504534,0.399254,0.499440,0.110568,0.038779,0.024071,4.554585,0.175666,0.800084,0.202185
8,59480,0.546058,14.570519,0.388887,0.510525,0.112592,0.041106,0.027270,4.553319,0.187204,0.852397,0.212009
9,60265,0.548945,15.133369,0.387389,0.513814,0.111873,0.042944,0.027728,4.645417,0.190307,0.884053,0.215969
10,60708,0.551322,15.800339,0.383393,0.515006,0.116360,0.042482,0.028448,4.658379,0.194692,0.906948,0.220548
11,60866,0.558218,16.166085,0.379292,0.522114,0.118095,0.043538,0.030345,4.678042,0.200217,0.936625,0.227134
12,61517,0.561708,17.067705,0.376172,0.525399,0.120698,0.044557,0.031617,4.706373,0.204824,0.963979,0.232928
13,61859,0.566997,17.926765,0.371231,0.530772,0.119562,0.044181,0.032606,4.722782,0.210305,0.993223,0.237868
14,62722,0.567456,19.016866,0.371417,0.530627,0.122158,0.045375,0.034438,4.814030,0.211999,1.020571,0.240351
15,63190,0.570062,20.683507,0.368603,0.533486,0.122266,0.044026,0.035116,4.810445,0.216126,1.039662,0.247181
16,65046,0.581569,20.546935,0.359238,0.543661,0.126126,0.046429,0.035544,4.876743,0.226107,1.102664,0.252684
17,66070,0.583635,20.954235,0.357969,0.546602,0.129287,0.047450,0.039776,4.978149,0.229105,1.140521,0.257274
18,67831,0.585724,21.592402,0.356504,0.549247,0.128525,0.046498,0.039304,5.057109,0.231253,1.169472,0.259716
19,68266,0.585759,21.692588,0.356078,0.549263,0.128658,0.047388,0.040913,5.086885,0.231907,1.179682,0.263929
