round,sampled_requests,mean_regret,cumulative_regret
0,196,0.690850,135.406539
1,212,0.589136,260.303414
2,205,0.585022,380.232822
3,199,0.577551,495.165397
4,203,0.612066,619.414741
5,185,0.558787,722.790316
6,186,0.554058,825.845057
7,209,0.560099,942.905787
8,208,0.560711,1059.533680
9,186,0.550237,1161.877837
10,178,0.552141,1260.158906
11,190,0.554561,1365.525408
12,191,0.533294,1467.384607
13,190,0.537925,1569.590276
14,188,0.551581,1673.287419
15,206,0.530110,1782.490137
16,212,0.501649,1888.839757
17,210,0.525695,1999.235633
18,196,0.488450,2094.971902
19,195,0.493739,2191.250942
