round,samples,recall_at_10,recall_at_50,mean_distance_error
0,191,0.400000,0.380000,0.010062
1,214,0.586916,0.510841,0.013428
2,235,0.629362,0.552766,0.012636
3,204,0.674510,0.595000,0.009731
4,193,0.625907,0.547668,0.013791
5,229,0.632751,0.569432,0.013735
6,183,0.646995,0.565027,0.011710
7,203,0.673399,0.586700,0.009742
8,200,0.693000,0.608300,0.009235
9,190,0.692632,0.605789,0.010042
10,215,0.707442,0.624837,0.007796
11,190,0.698947,0.619579,0.008451
12,187,0.688770,0.610481,0.008935
13,226,0.711947,0.636549,0.010844
14,182,0.727473,0.644176,0.008186
15,212,0.689623,0.618585,0.009717
16,214,0.713551,0.642243,0.008681
17,233,0.700000,0.646695,0.008990
18,200,0.704000,0.625800,0.010679
19,192,0.706250,0.638958,0.011816
