round,mean_unique_topics,mean_unique_creators,mean_intra_list_similarity,mean_topic_hhi,mean_creator_hhi,repetition_rate
0,5.000000,10.000000,0.484174,0.240000,0.100000,0.000000
1,3.212000,7.454600,0.552213,0.429255,0.158615,0.000000
2,2.602100,6.253500,0.628617,0.549045,0.201920,0.000000
3,2.437900,5.821200,0.648844,0.598590,0.223678,0.000000
4,2.354900,5.540200,0.656065,0.626955,0.242978,0.000000
5,2.320400,5.307700,0.661135,0.639740,0.261082,0.000000
6,2.313600,5.085500,0.658715,0.649292,0.280148,0.000000
7,2.397500,5.142500,0.652265,0.637507,0.277503,0.000000
8,2.473200,5.211500,0.644975,0.624531,0.272614,0.000000
9,2.578900,5.430100,0.632307,0.605497,0.256355,0.000000
10,2.574900,5.431700,0.629025,0.600467,0.257412,0.000000
11,2.616600,5.422300,0.625477,0.594635,0.261792,0.000000
12,2.623000,5.453700,0.627575,0.593936,0.260460,0.000000
13,2.696000,5.510800,0.621934,0.584249,0.257945,0.000000
14,2.741300,5.550700,0.611530,0.573152,0.252450,0.000000
15,2.765300,5.583900,0.606730,0.569886,0.250375,0.000000
16,2.830500,5.660900,0.603598,0.563308,0.248154,0.000000
17,2.880500,5.710700,0.591906,0.550985,0.244382,0.000000
18,2.907100,5.741400,0.586110,0.547033,0.239431,0.000000
19,2.979400,5.825500,0.575468,0.534107,0.235135,0.000000
