round,interactions_per_user,mean_reward_per_impression,mean_estimated_hidden_cosine
0,10,0.060904,0.260357
1,20,0.130827,0.273513
2,30,0.146137,0.281357
3,40,0.157779,0.287046
4,50,0.164368,0.293270
5,60,0.173561,0.299027
6,70,0.175854,0.306708
7,80,0.184469,0.313787
8,90,0.188037,0.319599
9,100,0.197480,0.324689
10,110,0.197952,0.330114
11,120,0.206062,0.336131
12,130,0.208487,0.341736
13,140,0.212519,0.348521
14,150,0.218635,0.354939
15,160,0.220716,0.360992
16,170,0.226833,0.367472
17,180,0.232450,0.374514
18,190,0.235038,0.380140
19,200,0.238147,0.384953
