round,impressions,mean_watch_ratio,mean_watch_seconds,instant_skip_rate,completion_rate,like_rate,share_rate,follow_rate,mean_session_length,reward_per_impression,reward_per_session,mean_true_affinity
0,100000,0.400370,14.566028,0.520120,0.363740,0.068810,0.025840,0.007890,8.637070,0.060904,0.526033,0.104201
1,74927,0.481255,13.497667,0.441350,0.444553,0.090061,0.033940,0.014668,5.676288,0.130827,0.742612,0.153787
2,63877,0.503234,12.129193,0.426053,0.468040,0.096999,0.037056,0.018504,4.835503,0.146137,0.706647,0.172055
3,60025,0.515579,12.411123,0.415977,0.480350,0.103157,0.038051,0.021241,4.548727,0.157779,0.717694,0.180894
4,57867,0.522661,12.436464,0.408540,0.487566,0.105881,0.038571,0.021757,4.451993,0.164368,0.731765,0.188068
5,56678,0.530766,13.308770,0.401355,0.496665,0.109760,0.040915,0.023748,4.407309,0.173561,0.764939,0.196241
6,55690,0.534826,13.488767,0.400198,0.500664,0.110774,0.038966,0.024493,4.365446,0.175854,0.767683,0.200847
7,56516,0.542136,14.349659,0.390916,0.506423,0.112251,0.040873,0.026541,4.402929,0.184469,0.812206,0.208710
8,57429,0.546794,15.008441,0.388079,0.511501,0.112138,0.039161,0.027686,4.458081,0.188037,0.838284,0.215905
9,59184,0.556936,15.089216,0.379731,0.521222,0.117582,0.041954,0.030059,4.589330,0.197480,0.906302,0.220466
10,59534,0.554796,16.906585,0.381933,0.519451,0.116303,0.043303,0.029311,4.616470,0.197952,0.913837,0.224166
11,59989,0.562448,17.293002,0.373335,0.526963,0.120655,0.043391,0.031956,4.626996,0.206062,0.953447,0.229445
12,60080,0.567102,17.582605,0.372953,0.531425,0.120573,0.044108,0.032573,4.654838,0.208487,0.970472,0.236177
13,60878,0.569256,18.127228,0.368820,0.532623,0.122212,0.044844,0.032968,4.681483,0.212519,0.994902,0.241785
14,61756,0.575749,18.209425,0.365195,0.539429,0.125300,0.045340,0.036806,4.750096,0.218635,1.038537,0.248940
15,62178,0.578406,18.549119,0.362041,0.541076,0.124867,0.045659,0.036138,4.740984,0.220716,1.046410,0.254455
16,63083,0.583138,20.214011,0.359178,0.546122,0.128196,0.047620,0.037918,4.807423,0.226833,1.090481,0.259612
17,63998,0.590508,19.502838,0.351980,0.554361,0.129270,0.046580,0.038673,4.868249,0.232450,1.131622,0.262393
18,64577,0.592386,19.532177,0.350016,0.556777,0.129086,0.048485,0.039797,4.912293,0.235038,1.154574,0.265602
19,65873,0.595629,19.840995,0.347593,0.558878,0.133833,0.048017,0.041838,4.946906,0.238147,1.178089,0.269328
