round,sampled_requests,mean_regret,cumulative_regret
0,196,0.690081,135.255832
1,212,0.595234,261.445415
2,205,0.566025,377.480505
3,199,0.582278,493.353791
4,203,0.596506,614.444557
5,185,0.556112,717.325269
6,186,0.554830,820.523680
7,209,0.534171,932.165322
8,208,0.537606,1043.987423
9,186,0.545014,1145.359955
10,178,0.522456,1238.357143
11,190,0.523600,1337.841209
12,191,0.522938,1437.722369
13,190,0.540942,1540.501401
14,188,0.540156,1642.050821
15,206,0.518798,1748.923171
16,212,0.499418,1854.799690
17,210,0.517623,1963.500466
18,196,0.499164,2061.336553
19,195,0.512992,2161.370019
