round,samples,recall_at_10,recall_at_50,mean_distance_error
0,191,0.400000,0.380000,0.010062
1,214,0.528505,0.469907,0.019982
2,235,0.627234,0.549447,0.013945
3,204,0.616176,0.539216,0.011972
4,193,0.702073,0.622487,0.007825
5,229,0.655895,0.572052,0.011708
6,183,0.696721,0.621858,0.007549
7,203,0.692611,0.609655,0.009732
8,200,0.668500,0.588900,0.010385
9,190,0.686316,0.607684,0.008840
10,215,0.679535,0.604093,0.010863
11,190,0.633684,0.574737,0.012375
12,187,0.694118,0.626738,0.009059
13,226,0.711947,0.633009,0.009210
14,182,0.728571,0.641978,0.007486
15,212,0.725472,0.639906,0.009380
16,214,0.706075,0.628598,0.010613
17,233,0.715451,0.649700,0.009284
18,200,0.682500,0.634900,0.010349
19,192,0.739063,0.667083,0.009107
