round,mean_unique_topics,mean_unique_creators,mean_intra_list_similarity,mean_topic_hhi,mean_creator_hhi,repetition_rate
0,2.000000,9.996900,0.611736,0.653546,0.100062,0.000000
1,2.028800,9.768700,0.714880,0.770040,0.104760,0.000000
2,1.751000,8.799700,0.744984,0.827542,0.137136,0.000000
3,1.760100,8.593700,0.756689,0.828460,0.139766,0.000000
4,2.017900,8.341000,0.728715,0.786038,0.149590,0.000000
5,2.308200,8.201900,0.707278,0.738848,0.149626,0.000000
6,2.374500,8.061700,0.708124,0.726908,0.154354,0.000000
7,2.308600,8.019000,0.709427,0.734240,0.155136,0.000000
8,2.437700,7.902500,0.701720,0.707506,0.164692,0.000000
9,2.547600,7.979500,0.687036,0.684558,0.159756,0.000000
10,2.430700,7.748700,0.697639,0.701378,0.170794,0.000000
11,2.349800,7.707800,0.701749,0.713408,0.172934,0.000000
12,2.535600,7.756800,0.677314,0.680404,0.168792,0.000000
13,2.567700,7.737400,0.675380,0.675430,0.168706,0.000000
14,2.450000,7.444700,0.687144,0.694516,0.183262,0.000000
15,2.495600,7.540600,0.681013,0.688056,0.180834,0.000000
16,2.517500,7.616400,0.678484,0.682418,0.177328,0.000000
17,2.474400,7.674600,0.680494,0.684622,0.177010,0.000000
18,2.421400,7.720600,0.689988,0.695662,0.173092,0.000000
19,2.479700,7.566300,0.684532,0.689320,0.178522,0.000000
