round,sampled_requests,mean_regret,cumulative_regret
0,196,0.693683,135.961830
1,212,0.626755,268.833954
2,205,0.577237,387.167535
3,199,0.575027,501.597960
4,203,0.587948,620.951421
5,185,0.586322,729.420919
6,186,0.546671,831.101656
7,209,0.550170,946.087277
8,208,0.541928,1058.808234
9,186,0.557320,1162.469800
10,178,0.514002,1253.962091
11,190,0.525935,1353.889826
12,191,0.528094,1454.755820
13,190,0.510993,1551.844398
14,188,0.511820,1648.066529
15,206,0.506695,1752.445654
16,212,0.465184,1851.064683
17,210,0.480126,1951.891229
18,196,0.465355,2043.100767
19,195,0.479804,2136.662464
